epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.355,1.68081,1.90846,1.6426,0.60737,0.48421,0.51689,0.2442,1.96697,1.77346,1.82911,0.00332621,0.00332621,0.00332621
2,171.269,1.68688,1.57325,1.59237,0.49661,0.43976,0.40777,0.17067,2.12489,1.94739,1.97812,0.00659361,0.00659361,0.00659361
3,240.564,1.78595,1.74369,1.69114,0.49783,0.43653,0.40332,0.16226,2.12982,2.13633,2.04928,0.00979502,0.00979502,0.00979502
4,309.175,1.83014,1.81251,1.74486,0.52733,0.43106,0.4259,0.17812,2.06169,2.26213,2.0408,0.009703,0.009703,0.009703
5,378.097,1.78136,1.73478,1.7221,0.56629,0.48776,0.48692,0.21844,2.01303,1.90477,1.93401,0.009604,0.009604,0.009604
6,446.736,1.74806,1.67916,1.6897,0.61498,0.48988,0.50954,0.24152,1.96258,1.88751,1.8953,0.009505,0.009505,0.009505
7,515.411,1.70854,1.60696,1.66855,0.61116,0.51643,0.54606,0.25496,1.94084,1.71886,1.88184,0.009406,0.009406,0.009406
8,584.519,1.67292,1.54373,1.63981,0.62095,0.54253,0.57042,0.26322,1.91429,1.75278,1.90239,0.009307,0.009307,0.009307
9,653.223,1.66349,1.53118,1.64126,0.62148,0.54961,0.58542,0.28008,1.88669,1.59569,1.84151,0.009208,0.009208,0.009208
10,722.519,1.63232,1.46868,1.61707,0.66519,0.54027,0.59711,0.29551,1.85016,1.5657,1.83369,0.009109,0.009109,0.009109
11,790.956,1.61969,1.45628,1.60871,0.69071,0.56406,0.62495,0.3084,1.84881,1.48006,1.83444,0.00901,0.00901,0.00901
12,859.7,1.60233,1.42477,1.5994,0.70692,0.57184,0.64178,0.32301,1.81387,1.48121,1.76419,0.008911,0.008911,0.008911
13,928.29,1.57683,1.38022,1.57811,0.70445,0.60986,0.67039,0.33371,1.79449,1.39666,1.76514,0.008812,0.008812,0.008812
14,996.832,1.57371,1.37371,1.57684,0.71014,0.59794,0.65642,0.33242,1.79868,1.41735,1.77545,0.008713,0.008713,0.008713
15,1065.54,1.55338,1.35031,1.5634,0.70705,0.59955,0.66969,0.34703,1.74732,1.39296,1.72919,0.008614,0.008614,0.008614
16,1133.92,1.53581,1.31584,1.5475,0.71958,0.59193,0.66574,0.33843,1.79146,1.39669,1.76964,0.008515,0.008515,0.008515
17,1202.69,1.52615,1.29634,1.54704,0.70382,0.63305,0.68562,0.35864,1.73883,1.31926,1.73361,0.008416,0.008416,0.008416
