lat,lon,heading,filename,status,source
22.4,88.2,0,,ZERO_RESULTS,metadata
22.4,88.2,90,,ZERO_RESULTS,metadata
22.4,88.2,180,,ZERO_RESULTS,metadata
22.4,88.2,270,,ZERO_RESULTS,metadata
22.4,88.202,0,,ZERO_RESULTS,metadata
22.4,88.202,90,,ZERO_RESULTS,metadata
22.4,88.202,180,,ZERO_RESULTS,metadata
22.4,88.202,270,,ZERO_RESULTS,metadata
22.4,88.204,0,,ZERO_RESULTS,metadata
22.4,88.204,90,,ZERO_RESULTS,metadata
22.4,88.204,180,,ZERO_RESULTS,metadata
22.4,88.204,270,,ZERO_RESULTS,metadata
22.4,88.206,0,,ZERO_RESULTS,metadata
22.4,88.206,90,,ZERO_RESULTS,metadata
22.4,88.206,180,,ZERO_RESULTS,metadata
22.4,88.206,270,,ZERO_RESULTS,metadata
22.4,88.208,0,,ZERO_RESULTS,metadata
22.4,88.208,90,,ZERO_RESULTS,metadata
22.4,88.208,180,,ZERO_RESULTS,metadata
22.4,88.208,270,,ZERO_RESULTS,metadata
22.4,88.21,0,,ZERO_RESULTS,metadata
22.4,88.21,90,,ZERO_RESULTS,metadata
22.4,88.21,180,,ZERO_RESULTS,metadata
22.4,88.21,270,,ZERO_RESULTS,metadata
22.4,88.212,0,,ZERO_RESULTS,metadata
22.4,88.212,90,,ZERO_RESULTS,metadata
22.4,88.212,180,,ZERO_RESULTS,metadata
22.4,88.212,270,,ZERO_RESULTS,metadata
22.4,88.214,0,,ZERO_RESULTS,metadata
22.4,88.214,90,,ZERO_RESULTS,metadata
22.4,88.214,180,,ZERO_RESULTS,metadata
22.4,88.214,270,,ZERO_RESULTS,metadata
22.4,88.216,0,,ZERO_RESULTS,metadata
22.4,88.216,90,,ZERO_RESULTS,metadata
22.4,88.216,180,,ZERO_RESULTS,metadata
22.4,88.216,270,,ZERO_RESULTS,metadata
22.4,88.218,0,,ZERO_RESULTS,metadata
22.4,88.218,90,,ZERO_RESULTS,metadata
22.4,88.218,180,,ZERO_RESULTS,metadata
22.4,88.218,270,,ZERO_RESULTS,metadata
22.4,88.22,0,,ZERO_RESULTS,metadata
22.4,88.22,90,,ZERO_RESULTS,metadata
22.4,88.22,180,,ZERO_RESULTS,metadata
22.4,88.22,270,,ZERO_RESULTS,metadata
22.4,88.222,0,,ZERO_RESULTS,metadata
22.4,88.222,90,,ZERO_RESULTS,metadata
22.4,88.222,180,,ZERO_RESULTS,metadata
22.4,88.222,270,,ZERO_RESULTS,metadata
22.4,88.224,0,,ZERO_RESULTS,metadata
22.4,88.224,90,,ZERO_RESULTS,metadata
22.4,88.224,180,,ZERO_RESULTS,metadata
22.4,88.224,270,,ZERO_RESULTS,metadata
22.4,88.226,0,,ZERO_RESULTS,metadata
22.4,88.226,90,,ZERO_RESULTS,metadata
22.4,88.226,180,,ZERO_RESULTS,metadata
22.4,88.226,270,,ZERO_RESULTS,metadata
22.4,88.228,0,,ZERO_RESULTS,metadata
22.4,88.228,90,,ZERO_RESULTS,metadata
22.4,88.228,180,,ZERO_RESULTS,metadata
22.4,88.228,270,,ZERO_RESULTS,metadata
22.4,88.23,0,,ZERO_RESULTS,metadata
22.4,88.23,90,,ZERO_RESULTS,metadata
22.4,88.23,180,,ZERO_RESULTS,metadata
22.4,88.23,270,,ZERO_RESULTS,metadata
22.4,88.232,0,,ZERO_RESULTS,metadata
22.4,88.232,90,,ZERO_RESULTS,metadata
22.4,88.232,180,,ZERO_RESULTS,metadata
22.4,88.232,270,,ZERO_RESULTS,metadata
22.4,88.234,0,,ZERO_RESULTS,metadata
22.4,88.234,90,,ZERO_RESULTS,metadata
22.4,88.234,180,,ZERO_RESULTS,metadata
22.4,88.234,270,,ZERO_RESULTS,metadata
22.39976872695291,88.2362922419521,0,lat_22.39976872695291_lon_88.2362922419521_hdg_0_pano.jpg,OK,pano
22.39976872695291,88.2362922419521,90,lat_22.39976872695291_lon_88.2362922419521_hdg_90_pano.jpg,OK,pano
22.39976872695291,88.2362922419521,180,lat_22.39976872695291_lon_88.2362922419521_hdg_180_pano.jpg,OK,pano
22.39976872695291,88.2362922419521,270,lat_22.39976872695291_lon_88.2362922419521_hdg_270_pano.jpg,OK,pano
22.4,88.238,0,,ZERO_RESULTS,metadata
22.4,88.238,90,,ZERO_RESULTS,metadata
22.4,88.238,180,,ZERO_RESULTS,metadata
22.4,88.238,270,,ZERO_RESULTS,metadata
22.4,88.24,0,,ZERO_RESULTS,metadata
22.4,88.24,90,,ZERO_RESULTS,metadata
22.4,88.24,180,,ZERO_RESULTS,metadata
22.4,88.24,270,,ZERO_RESULTS,metadata
22.4,88.242,0,,ZERO_RESULTS,metadata
22.4,88.242,90,,ZERO_RESULTS,metadata
